Ticket ID,Sprint,Epic,Title,Story Points,Owner Role,Dependencies,Description,Acceptance Criteria,Verification Commands,Labels
UX26-S3-002,S3,EPIC-MOBILE-ADMIN,Sites page mobile card workflow,5,Frontend Engineer,UX26-S3-001,Convert mobile sites list to card workflow with visible state and actions,"No horizontal scan needed at 390px; Primary actions remain easy to hit; Mobile visual baseline approved","npm run -w apps/web test:visual; npm run -w apps/web test:e2e:stable:mobile-chrome","uiux-2026,mobile-admin,sites"
UX26-S3-003,S3,EPIC-MOBILE-ADMIN,Live register mobile density and filters,8,Frontend Engineer,UX26-S3-001,Improve mobile scanability and filtering speed for live occupancy operations,"Compact scannable rows or cards shipped; Sticky filters available; High-risk indicators remain prominent","npm run -w apps/web test:e2e -- e2e/logic-flow.spec.ts; npm run -w apps/web test:visual","uiux-2026,mobile-admin,live-register"
UX26-S4-001,S4,EPIC-AI-UX,Embed copilot in hazards incidents permits,8,Full-stack Engineer,UX26-S3-003,Place AI guidance in-context within operational workflows instead of isolated screen,"In-context suggestion panel available; Suggestions are draft-only; Tenant scoping enforced for requests and responses","npm run -w apps/web test; npm run -w apps/web test:integration; npm run guardrails-tests","uiux-2026,ai-ux,workflow"
UX26-S4-002,S4,EPIC-AI-TRUST,Explainability and approval controls for AI,5,Full-stack Engineer,UX26-S4-001,Require explainable AI outputs and explicit human approval for state-changing use,"Each suggestion includes source signals and confidence; Human approval required before apply; Deterministic control IDs on denial","npm run -w apps/web test -- src/app/admin/safety-copilot/actions.test.ts; npm run guardrails-tests","uiux-2026,ai-trust,security"
UX26-S4-003,S4,EPIC-AI-MEASURE,AI adoption and quality telemetry,3,Data Engineer,UX26-S4-002,Measure accept reject edit outcomes for AI suggestions and expose weekly readout,"Accept reject edit events logged; Weekly adoption report generated; Sensitive text excluded from logs and exports","npm run -w apps/web test; node tools/test-gap-matrix.mjs","uiux-2026,ai-metrics,measurement"
UX26-S5-001,S5,EPIC-A11Y,Expand accessibility automation to top 20 routes,5,QA Engineer,UX26-S4-003,Scale axe-playwright checks across highest-value public and admin paths,"Top 20 routes covered by automated checks; Stable deterministic output in CI lane; Serious and critical failures block merges","npm run -w apps/web test:e2e -- e2e/a11y.spec.ts; npm run -w apps/web test:e2e:stable","uiux-2026,a11y,qa"
UX26-S5-002,S5,EPIC-A11Y,WCAG 2.2 remediation pass,8,Frontend Engineer,UX26-S5-001,Resolve severe contrast focus and form semantics defects found in audits and tests,"All severe findings closed; Focus indicators visible in all themes; Labels and errors correctly associated","npm run -w apps/web test; npm run -w apps/web test:e2e -- e2e/a11y.spec.ts","uiux-2026,a11y,wcag22"
UX26-S5-003,S5,EPIC-PERF,Performance budget and key-route remediation,5,Frontend Engineer,UX26-S3-003,Set and enforce page performance budgets and fix key route bottlenecks,"Budgets documented for key routes; Login sites live-register induction optimized; Budget report generated in CI","npm run -w apps/web build; npm run -w apps/web test:e2e:smoke","uiux-2026,performance,frontend"
UX26-S6-001,S6,EPIC-ROLLOUT,Progressive rollout and rollback playbook,3,Tech Lead,UX26-S5-003,Execute staged release by feature flag and verify rollback behavior for each increment,"Pilot-first rollout completed; Rollback steps tested and documented; Budget-protect and entitlements unaffected","npm run parity-gate; npm run guardrails-lint && npm run guardrails-tests && npm run policy-check","uiux-2026,rollout,operations"
UX26-S6-002,S6,EPIC-MEASURE,Post-release KPI readout vs baseline,3,Product Analyst,UX26-S6-001,Produce final KPI comparison and decision outcome against defined thresholds,"Baseline vs post-release deltas published; Pass fail decision explicit per KPI; Follow-up backlog created for misses","node tools/test-confidence-gate.mjs --full","uiux-2026,measurement,kpi"
UX26-S6-003,S6,EPIC-GTM,Final docs and demo evidence refresh,2,Tech Writer,UX26-S6-002,Update UX docs checklists and demo evidence pack to match shipped experience,"Docs commands and routes are current; Manual validation checklist updated; Demo evidence package complete","npm run -w apps/web lint; npm run -w apps/web typecheck; node tools/manual-flow-verify.mjs","uiux-2026,documentation,gtm"
